seq,cycle_duration_us,period_interval_us,read_duration_us,controller_duration_us,write_duration_us,deadline_missed,ok
330,17524.12,33332.78,6.11,10.79,17506.00,0,1
331,16190.07,33333.78,4.19,7.23,16177.90,0,1
332,14840.55,33333.87,5.84,9.47,14824.18,0,1
333,13508.04,33333.31,4.26,7.58,13495.52,0,1
334,12164.95,33332.11,3.88,7.31,12153.03,0,1
335,10817.40,33334.25,3.35,7.70,10805.63,0,1
336,9480.88,33334.40,4.36,7.93,9467.90,0,1
337,24133.68,33331.58,4.35,9.24,24119.02,0,1
338,22786.94,33337.86,10.42,14.92,22759.46,0,1
339,21444.44,33332.16,5.95,10.56,21426.56,0,1
340,20153.97,33329.74,4.44,10.24,20138.48,0,1
341,18792.87,33337.16,12.66,16.70,18760.44,0,1
342,17438.42,33332.13,7.89,12.64,17416.35,0,1
343,16100.76,33331.07,3.14,8.56,16088.59,0,1
344,14765.00,33333.66,4.77,9.02,14750.63,0,1
345,13419.77,33336.70,7.32,10.48,13400.97,0,1
346,12123.11,33350.08,9.69,19.05,12092.39,0,1
347,10736.01,33316.16,10.34,17.43,10705.93,0,1
348,9396.09,33333.58,8.59,11.08,9374.46,0,1
349,24022.78,33330.08,2.73,8.03,24011.60,0,1
350,22707.45,33333.89,2.52,6.15,22698.42,0,1
351,21371.24,33331.53,1.61,6.22,21363.02,0,1
352,20037.75,33336.65,5.48,12.40,20019.00,0,1
353,18698.98,33330.64,3.15,8.03,18687.34,0,1
354,17360.03,33332.21,1.45,6.15,17351.97,0,1
355,16023.41,33336.18,6.90,12.40,16002.81,0,1
356,14680.42,33331.23,2.16,8.56,14669.26,0,1
357,13344.85,33334.32,2.22,6.96,13335.27,0,1
358,12070.97,33333.43,7.06,13.95,12048.44,0,1
359,10734.44,33343.71,23.73,25.05,10680.69,0,1
360,9339.82,33332.97,24.55,27.63,9282.48,0,1
361,24026.43,33331.07,21.33,26.48,23973.59,0,1
362,22640.92,33328.28,13.01,23.84,22601.57,0,1
363,21328.44,33347.46,22.23,26.19,21274.63,0,1
364,19997.47,33327.86,22.05,25.75,19944.73,0,1
365,18696.73,33332.83,22.30,25.88,18643.29,0,1
366,17334.01,33335.74,24.39,25.81,17278.26,0,1
367,16020.48,33330.24,26.12,28.76,15960.34,0,1
368,14604.00,33333.12,23.42,27.93,14547.51,0,1
369,13617.01,33324.21,8.74,15.69,13590.99,0,1
370,12203.23,33347.41,23.19,93.39,12081.54,0,1
371,10595.09,33325.51,18.81,22.40,10550.17,0,1
372,9239.26,33330.34,8.61,14.44,9214.56,0,1
373,23868.76,33331.35,6.15,12.60,23848.53,0,1
374,22538.79,33330.49,2.81,7.62,22528.01,0,1
375,21199.96,33333.33,2.63,6.87,21189.99,0,1
376,19885.18,33333.77,2.63,7.43,19874.75,0,1
377,18553.23,33333.93,3.46,7.34,18541.88,0,1
378,17191.46,33332.54,4.91,9.89,17175.67,0,1
379,15899.46,33334.52,3.50,9.64,15885.59,0,1
380,14518.17,33335.21,11.53,18.56,14485.78,0,1
381,13176.63,33329.75,2.10,6.24,13167.79,0,1
382,11834.25,33337.07,9.69,13.22,11809.01,0,1
383,10502.17,33331.34,5.61,12.04,10483.55,0,1
384,9147.15,33331.82,2.26,6.20,9138.35,0,1
385,23797.84,33334.21,2.31,6.20,23788.97,0,1
386,22454.29,33333.36,2.90,8.09,22442.96,0,1
387,21122.35,33332.02,1.72,5.86,21114.23,0,1
388,19813.54,33333.82,2.13,6.66,19804.42,0,1
389,18465.11,33333.84,6.62,11.07,18446.16,0,1
390,17109.82,33333.39,3.69,8.59,17097.02,0,1
391,15777.09,33331.69,3.74,9.94,15762.86,0,1
392,14426.82,33334.82,2.81,8.46,14414.97,0,1
393,13093.83,33333.15,1.84,6.09,13085.54,0,1
394,11752.17,33333.34,1.88,5.95,11743.74,0,1
395,10413.95,33333.00,2.51,6.59,10404.32,0,1
396,9086.26,33337.58,7.65,10.44,9066.42,0,1
397,23716.47,33346.91,14.73,21.65,23676.95,0,1
398,22372.32,33318.56,10.19,15.33,22345.49,0,1
399,21037.99,33330.69,2.22,7.25,21028.06,0,1
400,19712.54,33333.83,3.03,8.81,19700.06,0,1
401,18392.00,33331.66,1.94,6.25,18383.48,0,1
402,17037.73,33335.06,5.90,11.35,17019.55,0,1
403,15705.10,33332.26,2.63,6.25,15695.86,0,1
404,14373.18,33334.34,2.84,6.28,14363.69,0,1
405,13055.89,33332.07,2.08,6.28,13046.93,0,1
406,11721.21,33336.77,11.19,18.65,11689.10,0,1
407,10371.08,33331.07,8.38,13.17,10348.12,0,1
408,9034.91,33338.10,12.23,16.95,9003.27,0,1
409,23682.23,33330.15,6.16,10.29,23664.64,0,1
410,22352.15,33331.94,3.09,10.34,22338.05,0,1
411,20968.04,33333.70,3.12,7.10,20957.30,0,1
412,19631.62,33334.97,5.24,12.12,19613.53,0,1
413,18324.56,33330.50,2.25,7.45,18314.50,0,1
414,16954.15,33335.99,8.06,13.01,16931.53,0,1
415,15607.83,33349.46,14.82,19.24,15570.16,0,1
416,14270.30,33315.99,3.26,9.29,14257.12,0,1
417,12928.68,33331.27,1.55,5.51,12921.24,0,1
418,11589.78,33334.42,2.71,6.08,11580.49,0,1
419,10250.97,33333.41,2.81,7.38,10240.29,0,1
420,8908.24,33332.29,1.77,5.74,8900.36,0,1
421,23620.25,33334.28,2.64,6.46,23610.72,0,1
422,22207.10,33339.82,13.39,22.46,22168.83,0,1
423,20877.94,33326.73,2.77,7.10,20867.45,0,1
424,19548.28,33334.16,2.77,6.95,19538.11,0,1
425,18205.70,33330.89,1.63,5.36,18198.38,0,1
426,16872.75,33333.79,2.62,6.50,16863.03,0,1
427,15534.85,33333.64,2.42,7.01,15524.92,0,1
428,14189.79,33332.45,1.52,6.72,14181.14,0,1
