seq,elapsed_us,ok,error,driver1_alarm,driver1_rpm,driver2_alarm,driver2_rpm
77,16038.67,1,0,0,0,0,0
78,15977.96,1,0,0,0,0,0
79,15986.00,1,0,0,0,0,0
80,15995.32,1,0,0,0,0,0
81,15991.00,1,0,0,0,0,0
82,15994.78,1,0,0,0,0,0
83,15994.85,1,0,0,0,0,0
84,15989.68,1,0,0,0,0,0
85,16010.72,1,0,0,0,0,0
86,15992.62,1,0,0,0,0,0
87,15986.17,1,0,0,0,0,0
88,16002.12,1,0,0,0,0,0
89,15986.42,1,0,0,0,0,0
90,16001.75,1,0,0,0,0,0
91,16000.69,1,0,0,0,0,0
92,15998.58,1,0,0,0,0,0
93,15998.53,1,0,0,0,0,0
94,15987.80,1,0,0,0,0,0
95,15992.47,1,0,0,0,0,0
96,16050.51,1,0,0,0,0,0
97,15969.59,1,0,0,0,0,0
98,15980.39,1,0,0,0,0,0
99,15995.39,1,0,0,0,0,0
100,15988.84,1,0,0,0,0,0
101,15995.37,1,0,0,0,0,0
102,20808.23,1,0,0,0,0,0
103,11214.39,1,0,0,0,0,0
104,15994.75,1,0,0,0,0,0
105,15977.07,1,0,0,0,0,0
106,15989.67,1,0,0,0,0,0
107,16002.31,1,0,0,0,0,0
108,15989.73,1,0,0,0,0,0
109,16000.97,1,0,0,0,0,0
110,16002.46,1,0,0,0,0,0
111,15990.43,1,0,0,0,0,0
112,15994.85,1,0,0,0,0,0
113,15989.31,1,0,0,0,0,0
114,15995.47,1,0,0,0,0,0
115,16002.02,1,0,0,0,0,0
116,16013.27,1,0,0,0,0,0
117,15978.54,1,0,0,0,0,0
118,15995.12,1,0,0,0,0,0
119,16004.92,1,0,0,0,0,0
120,15990.47,1,0,0,0,0,0
121,15998.05,1,0,0,0,0,0
122,15994.39,1,0,0,0,0,0
123,16000.39,1,0,0,0,0,0
124,15993.91,1,0,0,0,0,0
125,15994.26,1,0,0,0,0,0
126,15995.46,1,0,0,0,0,0
127,15999.86,1,0,0,0,0,0
128,15986.97,1,0,0,0,0,0
129,16011.10,1,0,0,0,0,0
130,15995.46,1,0,0,0,0,0
131,15986.50,1,0,0,0,0,0
132,16002.98,1,0,0,0,0,0
133,15998.16,1,0,0,0,0,0
134,16025.28,1,0,0,0,0,0
135,15981.17,1,0,0,0,0,0
136,15976.38,1,0,0,0,0,0
137,15993.89,1,0,0,0,0,0
138,16002.27,1,0,0,0,0,0
139,16000.88,1,0,0,0,0,0
140,15984.71,1,0,0,0,0,0
141,16009.97,1,0,0,0,0,0
142,15986.39,1,0,0,0,0,0
143,15997.24,1,0,0,0,0,0
144,16000.58,1,0,0,0,0,0
145,15992.59,1,0,0,0,0,0
146,16049.31,1,0,0,0,0,0
147,16006.09,1,0,0,0,0,0
148,15951.54,1,0,0,0,0,0
149,15988.59,1,0,0,0,0,0
150,15984.73,1,0,0,0,0,0
151,15995.85,1,0,0,0,0,0
152,15999.92,1,0,0,0,0,0
153,15992.45,1,0,0,0,0,0
154,16001.26,1,0,0,0,0,0
155,15992.53,1,0,0,0,0,0
156,15997.53,1,0,0,0,0,0
157,15992.21,1,0,0,0,0,0
158,15999.62,1,0,0,0,0,0
159,16001.52,1,0,0,0,0,0
160,16007.44,1,0,0,0,0,0
161,15983.24,1,0,0,0,0,0
162,15994.16,1,0,0,0,0,0
163,16004.02,1,0,0,0,0,0
164,15984.99,1,0,0,0,0,0
165,16013.70,1,0,0,0,0,0
166,15995.83,1,0,0,0,0,0
167,15984.43,1,0,0,0,0,0
168,15996.73,1,0,0,0,0,0
169,16003.74,1,0,0,0,0,0
170,15984.60,1,0,0,0,0,0
171,16010.08,1,0,0,0,0,0
172,16006.78,1,0,0,0,0,0
173,15980.83,1,0,0,0,0,0
174,16002.11,1,0,0,0,0,0
175,15996.23,1,0,0,0,0,0
176,15984.78,1,0,0,0,0,0
177,15997.71,1,0,0,0,0,0
178,16008.35,1,0,0,0,0,0
179,15998.88,1,0,0,0,0,0
180,15995.03,1,0,0,0,0,0
181,15979.30,1,0,0,0,0,0
182,15998.48,1,0,0,0,0,0
183,15995.50,1,0,0,0,0,0
184,15997.06,1,0,0,0,0,0
185,16013.87,1,0,0,0,0,0
186,15993.30,1,0,0,0,0,0
187,15991.11,1,0,0,0,0,0
188,15988.44,1,0,0,0,0,0
189,15990.10,1,0,0,0,0,0
190,15995.85,1,0,0,0,0,0
191,16010.33,1,0,0,0,0,0
192,15995.98,1,0,0,0,0,0
193,15975.96,1,0,0,0,0,0
194,16001.46,1,0,0,0,0,0
195,15991.86,1,0,0,0,0,0
196,16053.03,1,0,0,0,0,0
197,15991.14,1,0,0,0,0,0
198,15953.53,1,0,0,0,0,0
199,15995.94,1,0,0,0,0,0
200,15993.10,1,0,0,0,0,0
201,15998.28,1,0,0,0,0,0
202,15992.89,1,0,0,0,0,0
203,15989.71,1,0,0,0,0,0
204,16020.64,1,0,0,0,0,0
205,15987.32,1,0,0,0,0,0
206,15991.09,1,0,0,0,0,0
207,15991.98,1,0,0,0,0,0
208,15996.66,1,0,0,0,0,0
209,15991.15,1,0,0,0,0,0
210,16022.47,1,0,0,0,0,0
211,15987.47,1,0,0,0,0,0
212,15985.27,1,0,0,0,0,0
213,15997.72,1,0,0,0,0,0
214,15997.88,1,0,0,0,0,0
215,15990.57,1,0,0,0,0,0
216,16019.78,1,0,0,0,0,0
217,15998.19,1,0,0,0,0,0
218,15982.37,1,0,0,0,0,0
219,15991.50,1,0,0,0,0,0
220,15988.20,1,0,0,0,0,0
221,15997.89,1,0,0,0,0,0
222,16023.24,1,0,0,0,0,0
